Product,Height (mm),Width (mm),H,S,V,Recyclable Flag
500ml Blue Variant,199.7,70.6,236.3,85.5,83.1,Recyclable
500ml Blue Variant,200.4,70.8,240.0,84.0,86.6,Recyclable
500ml Blue Variant,201.3,68.6,243.7,87.2,86.1,Recyclable
500ml Orange Variant,201.2,70.9,22.2,93.2,93.3,Non-Recyclable
500ml Blue Variant,200.2,70.0,238.6,84.7,86.0,Recyclable
500ml Blue Variant,201.3,69.2,240.3,83.5,87.5,Recyclable
500ml Red Variant,200.6,71.1,358.7,91.2,86.9,Recyclable
500ml Green Variant,200.4,70.6,121.8,84.6,79.5,Recyclable
500ml Green Variant,203.6,70.3,117.1,86.4,78.4,Recyclable
500ml Green Variant,200.3,71.4,119.4,87.4,80.8,Recyclable
500ml Green Variant,199.5,70.7,121.1,84.7,78.7,Recyclable
500ml Orange Variant,200.1,71.1,29.9,89.3,92.0,Non-Recyclable
500ml Orange Variant,200.9,70.8,33.8,90.4,90.8,Non-Recyclable
500ml Orange Variant,198.0,70.9,32.3,90.2,93.0,Non-Recyclable
500ml Blue Variant,200.2,70.2,242.4,85.0,82.6,Recyclable
500ml Green Variant,201.0,69.7,119.1,85.7,79.6,Recyclable
1L Red Variant,261.0,90.9,358.6,93.3,89.3,Non-Recyclable
500ml Green Variant,200.7,70.2,117.3,84.9,78.7,Recyclable
500ml Green Variant,200.3,70.7,118.3,85.8,79.6,Recyclable
500ml Red Variant,201.3,68.8,359.6,90.0,92.9,Recyclable
1L Red Variant,260.1,89.7,2.0,91.6,90.3,Non-Recyclable
500ml Green Variant,199.2,69.5,121.4,88.5,77.5,Recyclable
1L Red Variant,260.6,89.2,359.1,93.4,86.6,Non-Recyclable
500ml Blue Variant,196.6,69.3,239.5,86.7,83.0,Recyclable
500ml Green Variant,201.1,70.0,120.6,83.6,81.1,Recyclable
1L Red Variant,259.7,89.9,0.6,90.3,86.7,Non-Recyclable
500ml Green Variant,198.8,70.1,116.2,89.1,79.3,Recyclable
500ml Green Variant,199.1,69.6,122.2,83.3,79.9,Recyclable
500ml Orange Variant,199.2,69.7,34.1,90.2,90.6,Non-Recyclable
1L Red Variant,259.6,90.4,2.8,90.0,88.7,Non-Recyclable
500ml Green Variant,199.7,70.9,115.9,86.6,80.8,Recyclable
500ml Green Variant,201.2,70.0,120.7,84.7,83.9,Recyclable
500ml Blue Variant,200.5,70.2,245.5,83.7,81.8,Recyclable
1L Red Variant,259.7,89.7,0.4,90.2,87.6,Non-Recyclable
500ml Blue Variant,199.6,71.1,238.3,86.4,86.2,Recyclable
1L Red Variant,259.7,91.6,359.4,88.0,89.9,Non-Recyclable
500ml Blue Variant,200.1,70.7,242.6,86.0,83.7,Recyclable
500ml Orange Variant,199.7,70.3,27.2,87.5,92.4,Non-Recyclable
500ml Orange Variant,199.3,69.4,28.0,89.6,92.0,Non-Recyclable
500ml Green Variant,199.2,69.1,121.7,84.4,80.1,Recyclable
1L Red Variant,258.2,89.9,0.8,89.6,88.5,Non-Recyclable
500ml Red Variant,199.1,69.8,353.1,93.2,89.0,Recyclable
500ml Green Variant,199.1,69.5,121.3,85.6,80.5,Recyclable
500ml Blue Variant,200.7,69.6,246.1,88.5,84.4,Recyclable
500ml Blue Variant,199.8,68.5,238.5,85.1,86.4,Recyclable
500ml Orange Variant,198.3,72.0,24.5,90.2,94.7,Non-Recyclable
500ml Orange Variant,198.2,69.0,27.3,91.3,93.9,Non-Recyclable
500ml Green Variant,201.9,69.8,116.3,82.8,82.3,Recyclable
500ml Blue Variant,199.7,68.8,237.9,82.7,86.4,Recyclable
1L Red Variant,260.3,89.1,358.7,92.2,89.3,Non-Recyclable
500ml Blue Variant,201.0,70.4,237.9,85.8,81.5,Recyclable
500ml Orange Variant,196.5,69.7,27.8,90.2,92.6,Non-Recyclable
1L Red Variant,262.2,90.2,0.9,88.4,89.0,Non-Recyclable
1L Red Variant,259.6,90.7,1.8,90.8,85.7,Non-Recyclable
500ml Orange Variant,201.9,71.5,32.4,91.8,94.0,Non-Recyclable
500ml Blue Variant,200.3,70.2,239.6,84.0,84.3,Recyclable
1L Red Variant,258.5,90.4,359.2,84.8,85.1,Non-Recyclable
500ml Blue Variant,199.2,70.8,241.0,84.5,87.1,Recyclable
500ml Green Variant,200.8,69.9,120.7,85.4,78.0,Recyclable
500ml Red Variant,202.3,70.8,355.6,87.6,91.4,Recyclable
1L Red Variant,258.7,91.3,355.9,88.4,87.0,Non-Recyclable
500ml Green Variant,197.0,70.5,115.8,83.2,82.6,Recyclable
1L Red Variant,260.4,91.3,354.9,92.4,87.9,Non-Recyclable
1L Red Variant,260.4,89.9,1.4,89.4,88.1,Non-Recyclable
500ml Green Variant,200.4,70.3,118.6,84.2,79.8,Recyclable
500ml Red Variant,200.8,69.2,1.8,91.7,90.1,Recyclable
500ml Green Variant,201.8,71.0,120.6,85.3,77.1,Recyclable
500ml Red Variant,202.2,70.4,358.3,90.6,89.3,Recyclable
500ml Red Variant,201.1,68.1,0.9,92.2,89.4,Recyclable
1L Red Variant,257.0,89.7,0.0,89.8,91.7,Non-Recyclable
1L Red Variant,260.4,89.8,359.6,91.1,84.9,Non-Recyclable
500ml Blue Variant,202.7,69.6,237.1,88.1,83.0,Recyclable
500ml Blue Variant,198.1,70.0,242.9,85.1,82.3,Recyclable
1L Red Variant,260.2,90.6,357.3,89.5,86.8,Non-Recyclable
500ml Red Variant,202.0,70.3,357.0,91.4,93.0,Recyclable
500ml Green Variant,204.3,70.8,120.5,85.1,78.2,Recyclable
500ml Orange Variant,196.9,68.7,28.7,87.4,90.9,Non-Recyclable
1L Red Variant,259.1,90.6,2.6,92.8,88.9,Non-Recyclable
500ml Green Variant,197.8,70.4,120.2,86.8,78.6,Recyclable
500ml Orange Variant,202.1,71.0,31.1,88.6,89.6,Non-Recyclable
500ml Orange Variant,199.4,69.6,26.9,90.0,94.5,Non-Recyclable
1L Red Variant,258.4,89.9,2.6,87.8,85.9,Non-Recyclable
500ml Green Variant,200.5,69.8,119.3,87.8,81.1,Recyclable
500ml Green Variant,201.8,70.7,119.1,86.5,78.6,Recyclable
500ml Orange Variant,201.0,68.7,26.0,89.8,94.8,Non-Recyclable
500ml Orange Variant,199.4,70.2,30.4,87.4,88.9,Non-Recyclable
500ml Blue Variant,198.6,70.2,239.8,84.3,85.7,Recyclable
500ml Blue Variant,200.1,69.9,240.8,85.0,86.3,Recyclable
500ml Green Variant,201.0,68.6,118.2,83.7,81.9,Recyclable
500ml Blue Variant,197.8,69.9,244.5,87.1,84.8,Recyclable
500ml Green Variant,199.6,70.2,123.8,85.0,80.7,Recyclable
500ml Blue Variant,197.6,70.3,242.9,82.6,83.7,Recyclable
500ml Green Variant,201.6,69.8,116.3,85.5,81.0,Recyclable
1L Red Variant,259.4,88.5,0.9,89.0,89.3,Non-Recyclable
500ml Red Variant,201.6,70.3,2.6,89.5,91.2,Recyclable
500ml Blue Variant,199.9,69.6,242.3,85.7,86.0,Recyclable
500ml Red Variant,199.7,69.9,0.2,87.1,92.2,Recyclable
500ml Red Variant,202.1,71.1,358.2,94.3,92.1,Recyclable
1L Red Variant,259.8,88.3,3.5,92.5,89.6,Non-Recyclable
500ml Blue Variant,203.7,70.0,241.5,84.4,84.0,Recyclable
500ml Green Variant,201.5,69.0,118.5,87.6,79.6,Recyclable
500ml Green Variant,201.1,69.8,123.6,88.6,79.4,Recyclable
500ml Red Variant,199.1,70.5,359.4,88.1,91.9,Recyclable
1L Red Variant,259.3,89.7,359.0,88.6,91.9,Non-Recyclable
500ml Red Variant,199.7,69.6,358.2,92.7,88.3,Recyclable
500ml Blue Variant,198.1,69.8,238.3,86.4,86.2,Recyclable
500ml Orange Variant,197.9,69.9,34.6,90.6,90.9,Non-Recyclable
500ml Green Variant,199.9,70.7,121.5,85.2,82.8,Recyclable
500ml Green Variant,199.7,71.5,114.8,84.1,79.8,Recyclable
500ml Green Variant,201.6,70.4,115.8,89.9,81.6,Recyclable
500ml Green Variant,201.0,68.9,118.4,85.7,80.4,Recyclable
1L Red Variant,261.7,89.8,5.9,87.6,85.2,Non-Recyclable
500ml Orange Variant,204.3,70.4,33.1,90.0,89.9,Non-Recyclable
500ml Blue Variant,199.0,69.9,245.3,86.4,84.4,Recyclable
1L Red Variant,261.2,90.1,357.8,91.1,88.3,Non-Recyclable
1L Red Variant,259.4,89.6,355.0,86.3,86.5,Non-Recyclable
500ml Orange Variant,199.5,70.3,31.9,90.9,90.0,Non-Recyclable
1L Red Variant,257.8,90.3,358.4,89.0,86.9,Non-Recyclable
500ml Blue Variant,201.7,69.2,246.8,84.9,86.0,Recyclable
1L Red Variant,261.7,90.6,3.9,90.4,88.5,Non-Recyclable
500ml Orange Variant,199.7,69.6,31.2,92.6,91.8,Non-Recyclable
1L Red Variant,258.8,88.8,358.3,88.2,86.5,Non-Recyclable
1L Red Variant,258.7,90.0,359.2,92.0,88.3,Non-Recyclable
500ml Orange Variant,201.1,68.8,37.9,89.5,93.0,Non-Recyclable
1L Red Variant,263.2,90.3,359.3,91.9,86.1,Non-Recyclable
1L Red Variant,258.3,89.7,359.4,86.7,86.1,Non-Recyclable
500ml Orange Variant,199.9,69.1,30.4,90.3,91.9,Non-Recyclable
500ml Red Variant,201.0,69.5,2.6,90.3,92.0,Recyclable
500ml Blue Variant,197.7,69.6,235.2,86.5,84.0,Recyclable
500ml Green Variant,199.4,70.4,119.0,85.0,77.5,Recyclable
500ml Green Variant,198.8,68.8,124.7,85.2,77.6,Recyclable
500ml Blue Variant,203.7,67.9,236.6,87.7,84.0,Recyclable
500ml Red Variant,199.8,69.5,359.1,89.0,88.3,Recyclable
1L Red Variant,261.1,89.7,357.4,88.4,89.1,Non-Recyclable
1L Red Variant,260.3,90.0,1.4,90.6,86.0,Non-Recyclable
500ml Red Variant,199.5,70.3,5.2,87.8,89.6,Recyclable
1L Red Variant,258.9,90.3,3.2,86.2,88.1,Non-Recyclable
1L Red Variant,258.8,89.7,358.0,89.6,89.6,Non-Recyclable
500ml Blue Variant,197.7,70.3,237.6,87.2,84.4,Recyclable
1L Red Variant,259.0,89.3,356.9,88.2,90.7,Non-Recyclable
1L Red Variant,261.5,89.5,1.5,88.5,84.8,Non-Recyclable
500ml Red Variant,202.1,70.8,356.0,89.3,92.8,Recyclable
500ml Green Variant,200.9,70.7,119.8,84.1,83.2,Recyclable
500ml Red Variant,198.5,68.8,358.4,89.5,90.7,Recyclable
500ml Green Variant,201.0,70.5,122.3,83.1,80.4,Recyclable
1L Red Variant,260.3,89.6,2.7,89.7,86.4,Non-Recyclable
1L Red Variant,260.3,89.4,359.4,91.2,84.8,Non-Recyclable
1L Red Variant,258.0,89.7,355.1,93.4,87.0,Non-Recyclable
1L Red Variant,262.3,89.8,359.5,90.3,86.8,Non-Recyclable
500ml Green Variant,197.4,68.9,124.5,87.3,79.9,Recyclable
500ml Green Variant,201.2,70.1,121.6,83.8,79.9,Recyclable
500ml Green Variant,200.8,68.2,120.5,86.0,80.7,Recyclable
500ml Red Variant,196.3,70.3,2.5,90.5,88.9,Recyclable
500ml Red Variant,198.6,69.3,2.7,88.9,86.7,Recyclable
500ml Orange Variant,199.8,70.0,29.5,92.7,91.2,Non-Recyclable
500ml Blue Variant,198.0,70.6,242.8,81.4,86.3,Recyclable
500ml Red Variant,202.6,69.3,355.1,84.6,88.7,Recyclable
500ml Orange Variant,199.9,68.8,34.8,92.5,89.8,Non-Recyclable
500ml Green Variant,200.3,70.0,120.0,83.6,82.0,Recyclable
500ml Orange Variant,199.0,71.2,31.1,88.2,92.1,Non-Recyclable
1L Red Variant,257.4,88.4,0.4,93.7,87.8,Non-Recyclable
1L Red Variant,260.3,89.2,357.4,90.4,88.0,Non-Recyclable
500ml Green Variant,199.0,69.0,118.4,79.6,81.1,Recyclable
500ml Green Variant,199.6,70.3,121.9,84.4,79.0,Recyclable
1L Red Variant,257.6,90.7,1.3,92.1,88.3,Non-Recyclable
1L Red Variant,258.8,90.7,359.7,89.3,92.5,Non-Recyclable
500ml Blue Variant,197.7,68.2,241.4,84.3,79.7,Recyclable
500ml Blue Variant,199.3,70.0,241.4,82.9,84.7,Recyclable
500ml Orange Variant,201.9,69.2,26.7,90.6,90.3,Non-Recyclable
500ml Red Variant,202.0,69.4,3.6,88.5,95.0,Recyclable
1L Red Variant,260.7,90.8,359.6,90.0,88.1,Non-Recyclable
500ml Blue Variant,202.3,68.9,241.3,84.2,86.5,Recyclable
500ml Orange Variant,199.0,69.5,29.1,91.4,95.3,Non-Recyclable
500ml Orange Variant,197.7,70.7,27.3,89.9,92.4,Non-Recyclable
500ml Orange Variant,199.0,69.9,32.7,91.1,90.1,Non-Recyclable
500ml Red Variant,202.2,70.0,2.2,90.7,91.3,Recyclable
1L Red Variant,258.8,89.0,354.3,90.6,88.4,Non-Recyclable
500ml Blue Variant,199.2,69.4,243.7,83.8,85.6,Recyclable
500ml Orange Variant,202.1,70.7,32.3,89.1,91.3,Non-Recyclable
1L Red Variant,259.1,89.8,3.0,91.3,88.9,Non-Recyclable
500ml Green Variant,200.0,70.0,119.1,84.8,79.6,Recyclable
500ml Red Variant,201.0,68.2,359.9,91.0,88.3,Recyclable
500ml Red Variant,199.2,69.4,357.5,89.8,90.2,Recyclable
500ml Orange Variant,198.9,69.9,30.3,88.2,93.1,Non-Recyclable
1L Red Variant,261.2,88.1,6.2,91.1,88.5,Non-Recyclable
1L Red Variant,259.7,89.8,0.2,88.2,86.8,Non-Recyclable
500ml Blue Variant,199.0,70.8,239.7,86.2,86.3,Recyclable
500ml Red Variant,200.1,70.2,1.1,91.2,88.7,Recyclable
500ml Orange Variant,198.8,71.8,31.8,91.5,91.0,Non-Recyclable
500ml Red Variant,198.6,71.4,4.4,90.5,87.8,Recyclable
500ml Blue Variant,195.7,69.4,236.6,83.7,85.4,Recyclable
500ml Orange Variant,198.2,69.4,30.7,90.2,93.1,Non-Recyclable
500ml Orange Variant,200.1,70.8,31.1,90.4,92.4,Non-Recyclable
500ml Green Variant,203.1,70.0,127.3,86.1,77.9,Recyclable
500ml Red Variant,199.1,69.7,352.9,90.9,88.8,Recyclable
500ml Blue Variant,201.7,69.5,240.2,83.3,81.1,Recyclable
500ml Green Variant,199.8,71.2,116.3,83.7,81.1,Recyclable
500ml Green Variant,199.2,70.8,118.5,84.2,80.1,Recyclable
1L Red Variant,258.7,89.9,1.6,90.0,86.3,Non-Recyclable
500ml Red Variant,199.9,70.2,355.8,88.2,89.6,Recyclable
500ml Green Variant,201.1,69.4,116.6,87.9,84.0,Recyclable
500ml Orange Variant,200.1,70.1,30.0,89.1,92.5,Non-Recyclable
500ml Red Variant,197.1,70.1,2.8,89.7,88.1,Recyclable
500ml Green Variant,196.3,69.4,118.2,86.7,79.9,Recyclable
500ml Blue Variant,197.8,69.8,242.5,82.2,87.2,Recyclable
500ml Orange Variant,199.1,70.1,29.1,90.3,93.2,Non-Recyclable
500ml Red Variant,198.5,69.9,355.1,90.3,92.0,Recyclable
1L Red Variant,261.9,90.5,1.5,90.6,86.5,Non-Recyclable
500ml Green Variant,197.1,69.0,117.4,83.2,79.0,Recyclable
500ml Orange Variant,198.2,71.1,27.7,91.9,93.0,Non-Recyclable
500ml Red Variant,199.8,71.3,357.8,90.2,89.0,Recyclable
500ml Orange Variant,201.5,71.4,32.1,87.8,95.4,Non-Recyclable
500ml Orange Variant,199.4,71.0,32.7,89.1,88.6,Non-Recyclable
500ml Red Variant,200.2,71.2,355.3,93.9,90.7,Recyclable
500ml Red Variant,201.6,69.5,353.8,88.5,90.1,Recyclable
500ml Red Variant,200.2,69.6,2.0,86.8,91.8,Recyclable
1L Red Variant,260.8,88.8,358.4,90.2,85.9,Non-Recyclable
500ml Blue Variant,201.2,70.2,238.8,82.2,84.4,Recyclable
500ml Orange Variant,199.3,68.6,27.9,90.4,91.5,Non-Recyclable
500ml Green Variant,201.0,70.3,119.1,87.1,80.8,Recyclable
1L Red Variant,261.4,90.2,0.9,91.2,86.9,Non-Recyclable
500ml Blue Variant,202.2,69.2,237.4,88.7,84.2,Recyclable
500ml Green Variant,200.8,70.8,121.6,85.7,80.7,Recyclable
500ml Orange Variant,199.1,70.6,29.7,91.6,92.2,Non-Recyclable
1L Red Variant,258.3,88.7,355.3,94.3,86.1,Non-Recyclable
500ml Green Variant,199.5,68.7,119.1,84.7,80.4,Recyclable
500ml Orange Variant,200.8,69.4,32.3,87.5,89.1,Non-Recyclable
500ml Red Variant,200.8,69.4,359.5,89.7,92.2,Recyclable
500ml Blue Variant,200.8,69.9,243.9,85.2,87.7,Recyclable
1L Red Variant,261.8,89.3,350.6,88.3,90.7,Non-Recyclable
500ml Red Variant,200.5,68.7,357.5,88.6,90.3,Recyclable
500ml Orange Variant,197.4,68.7,25.5,87.8,94.3,Non-Recyclable
500ml Red Variant,199.9,68.8,1.2,90.7,89.5,Recyclable
